                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8489,                 1.1182,                 1.8265,                 1.1102,                0.75369,                0.73286,                0.72803,                 0.5789,                0.76761,                0.74571,                 0.7279,                0.50565,                0.77004,                0.60894,                 1.4069,                 1.0346,               0.070139,              0.0033179,              0.0033179
                      2,                0.79258,                0.80762,                 1.0995,                 1.0407,                0.70817,                0.79041,                0.72377,                0.53961,                0.71841,                0.80184,                0.73729,                0.51084,                0.86656,                0.57109,                 1.3601,                 1.0768,               0.040073,              0.0065854,              0.0065854
                      3,                0.87994,                0.81622,                 1.0929,                 1.0747,                0.71338,                0.76445,                0.74917,                0.54995,                0.75189,                0.74031,                0.75067,                0.52763,                0.94832,                0.63511,                  1.238,                 1.1653,              0.0099412,              0.0097869,              0.0097869
                      4,                0.92066,                 0.8187,                 1.0732,                 1.1086,                0.69315,                 0.6809,                0.66572,                0.46893,                0.69461,                0.67857,                0.64661,                0.41488,                  1.091,                0.76473,                 1.4794,                 1.2932,               0.009703,               0.009703,               0.009703
                      5,                0.86427,                0.77521,                0.98921,                 1.0816,                0.73769,                0.85286,                0.78111,                0.58815,                0.74032,                0.86342,                0.78627,                0.54776,                0.88561,                0.55787,                 1.0751,                 1.1098,               0.009703,               0.009703,               0.009703
                      6,                0.82528,                 0.7227,                0.93484,                 1.0596,                 0.7419,                   0.78,                0.74596,                0.56282,                0.76272,                0.81143,                0.76472,                0.53975,                0.90705,                 0.5411,                 1.0404,                 1.1566,               0.009604,               0.009604,               0.009604
                      7,                0.81997,                0.74862,                0.91528,                 1.0721,                 0.7704,                0.84845,                0.79408,                 0.6494,                0.77856,                0.86393,                0.79883,                0.59155,                0.71852,                0.49559,                0.88282,                 1.0008,               0.009505,               0.009505,               0.009505
                      8,                0.76312,                0.73096,                0.85833,                 1.0394,                0.78006,                 0.8411,                0.81694,                0.65902,                0.80698,                0.85143,                0.82866,                0.60703,                0.76193,                0.54659,                0.88324,                 1.0494,               0.009406,               0.009406,               0.009406
                      9,                0.77104,                0.72211,                  0.843,                  1.052,                0.74361,                0.87007,                0.79339,                 0.6366,                0.75328,                0.87429,                0.79521,                0.60875,                0.76367,                0.48256,                 0.8987,                 1.0336,               0.009307,               0.009307,               0.009307
                     10,                0.74122,                0.72559,                0.84232,                 1.0444,                0.77047,                0.87277,                0.80588,                0.66325,                0.78435,                0.88849,                0.81843,                0.62399,                0.70457,                0.46972,                0.93083,                0.99742,               0.009208,               0.009208,               0.009208
