fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.0,0.00986,0.01,0.937,0.00048,3.0,0.8,6.99572,0.5,1.37387,0.01507,0.6454,0.39345,0.0,0.09854,0.51908,0.0,0.0,0.0,0.48632,1.0,0.0,0.0
0.0,0.01005,0.00978,0.93962,0.0005,2.94486,0.80011,7.49405,0.5,1.4828,0.01534,0.70327,0.40055,0.0,0.10058,0.49802,0.0,0.0,0.0,0.50944,1.0,0.0,0.0
0.0,0.00986,0.01003,0.94086,0.00049,2.98296,0.8,7.07364,0.50741,1.38184,0.0147,0.65385,0.41823,0.0,0.09987,0.52345,0.0,0.0,0.0,0.48172,1.0,0.0,0.0
0.0,0.00956,0.01,0.93026,0.0005,2.95321,0.8,6.99572,0.48537,1.35636,0.01525,0.64191,0.39345,0.0,0.09553,0.53505,0.0,0.0,0.0,0.48632,1.0,0.0,0.0
0.0,0.00853,0.01092,0.93962,0.00051,2.53581,0.68507,7.49405,0.35375,1.01169,0.01907,0.68193,0.43287,0.0,0.10791,0.49802,0.0,0.0,0.0,0.51282,1.0,0.0,0.0
0.0,0.01066,0.01,0.94186,0.00048,3.04306,0.86779,7.01266,0.54612,1.35888,0.01527,0.69744,0.42776,0.0,0.10143,0.60902,0.0,0.0,0.0,0.50157,1.0,0.0,0.0
0.0,0.00966,0.0096,0.93636,0.00041,3.0,0.82449,6.78556,0.46834,1.59775,0.01211,0.5152,0.4,0.0,0.1,0.56498,0.0,0.0,0.0,0.5326,1.0,0.0,0.0
0.0,0.01154,0.01,0.90114,0.0005,2.8326,0.8,7.14321,0.48688,1.21818,0.01365,0.66787,0.3735,0.0,0.09111,0.54395,0.0,0.0,0.0,0.52053,1.0,0.0,0.0
0.0,0.01005,0.01,0.90678,0.00053,2.62466,0.84582,7.62829,0.42867,1.48474,0.01525,0.6995,0.4046,0.0,0.11157,0.52703,0.0,0.0,0.0,0.50901,0.93885,0.0,0.0
0.0,0.00794,0.00906,0.91709,0.0005,2.33167,0.76646,8.11854,0.5,1.4828,0.01138,0.68378,0.40055,0.0,0.10058,0.47371,0.0,0.0,0.0,0.50944,1.0,0.0,0.0
0.0,0.01,0.0097,0.96421,0.00054,2.71291,0.8,7.04229,0.56665,1.56943,0.015,0.68766,0.42676,0.0,0.10873,0.50529,0.0,0.0,0.0,0.57767,1.0,0.0,0.0
0.0,0.00981,0.01004,0.93998,0.0005,2.98092,0.79578,7.11684,0.50741,1.3882,0.01464,0.64256,0.42355,0.0,0.10065,0.53009,0.0,0.0,0.0,0.48172,1.0,0.0,0.0
0.0,0.01,0.01024,0.91392,0.00046,3.15564,0.8,7.60607,0.52615,1.5,0.01222,0.7,0.4,0.0,0.08526,0.50507,0.0,0.0,0.0,0.54171,0.95278,0.0,0.0
0.0,0.00986,0.01003,0.95612,0.00048,3.02752,0.75192,7.48851,0.49262,1.4599,0.0147,0.69354,0.42031,0.0,0.1034,0.52345,0.0,0.0,0.0,0.48383,0.95695,0.0,0.0
0.0,0.00956,0.00889,0.94071,0.00052,2.95321,0.86567,7.1147,0.48537,1.34,0.01475,0.55641,0.41841,0.0,0.08411,0.55833,0.0,0.0,0.0,0.50332,0.79398,0.0,0.0
0.0,0.00981,0.00972,0.9615,0.00049,3.07773,0.77206,7.70227,0.5,1.37387,0.01295,0.64059,0.39345,0.0,0.09854,0.55592,0.0,0.0,0.0,0.46082,1.0,0.0,0.0
0.0,0.00869,0.01,0.937,0.00042,3.15068,0.95,7.5,0.47874,1.5,0.01634,0.82121,0.3915,0.0,0.08431,0.5152,0.0,0.0,0.0,0.56025,0.71636,0.0,0.0
