                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90332,                 1.4558,                 3.0275,                 1.0091,                0.48624,                0.61519,                0.52032,                 0.3824,                0.48624,                0.61519,                0.52133,                0.37486,                  0.797,                 1.3016,                 2.2727,                0.98018,               0.070139,              0.0033179,              0.0033179
                      2,                0.90851,                 1.3296,                 2.0251,                0.99773,                0.50537,                0.56869,                0.52415,                0.37018,                0.50537,                0.56869,                0.52168,                0.36814,                0.90104,                 1.6098,                 2.1942,                0.99978,               0.040073,              0.0065854,              0.0065854
                      3,                0.98818,                 1.4401,                 1.9193,                 1.0475,                0.52111,                0.50598,                0.48146,                0.34701,                0.53099,                0.49159,                0.48062,                0.34927,                 0.9304,                  1.543,                 2.1496,                 1.0588,              0.0099412,              0.0097869,              0.0097869
                      4,                 1.0459,                 1.5045,                 1.8541,                 1.0941,                0.59775,                0.59254,                0.57073,                0.39641,                0.59052,                0.58816,                0.56376,                0.38843,                 0.9596,                 1.6859,                 1.8017,                 1.0919,               0.009703,               0.009703,               0.009703
                      5,                 1.0045,                 1.4633,                  1.692,                 1.0745,                0.54716,                 0.5927,                0.57139,                0.39732,                  0.545,                0.59242,                0.56499,                0.40084,                0.92165,                  1.489,                 2.0089,                 1.0593,               0.009703,               0.009703,               0.009703
                      6,                0.97165,                 1.4272,                 1.6153,                 1.0703,                 0.5793,                0.58745,                0.60057,                0.42941,                0.57283,                0.58306,                0.59607,                 0.4308,                0.94608,                 1.4628,                  1.632,                 1.0744,               0.009604,               0.009604,               0.009604
                      7,                0.94788,                 1.4054,                 1.5007,                 1.0628,                0.62251,                0.72248,                 0.7114,                0.53484,                0.60611,                0.73256,                0.70974,                0.52659,                0.81119,                 1.3511,                 1.4605,                   1.01,               0.009505,               0.009505,               0.009505
                      8,                0.90308,                 1.3295,                 1.4083,                 1.0418,                0.60912,                0.59843,                0.61806,                0.45114,                0.60696,                0.59947,                0.61775,                0.44472,                0.85353,                 1.4471,                 1.5834,                 1.0392,               0.009406,               0.009406,               0.009406
                      9,                0.88596,                  1.312,                 1.3431,                 1.0315,                0.62978,                0.69225,                0.68471,                 0.5059,                0.62978,                0.69225,                0.68266,                0.49665,                0.80246,                 1.3023,                   1.42,                 1.0046,               0.009307,               0.009307,               0.009307
                     10,                0.87617,                 1.3142,                 1.3603,                 1.0391,                0.66452,                0.72299,                 0.7236,                0.55239,                0.66452,                0.72299,                0.72309,                0.52827,                0.76911,                   1.25,                 1.2721,                0.99564,               0.009208,               0.009208,               0.009208
                     11,                0.85732,                 1.3104,                 1.3159,                 1.0256,                0.71158,                0.68983,                0.74323,                0.57272,                0.70604,                0.68571,                0.73727,                 0.5615,                0.76576,                 1.2293,                 1.2579,                 1.0048,               0.009109,               0.009109,               0.009109
                     12,                0.83196,                 1.2506,                 1.2565,                 1.0152,                0.67889,                0.75506,                0.75082,                 0.5774,                  0.684,                0.75945,                0.75337,                0.56998,                0.76225,                 1.2247,                 1.1907,                  0.998,                0.00901,                0.00901,                0.00901
                     13,                0.83071,                 1.2711,                 1.2462,                 1.0167,                0.75781,                0.69082,                0.75813,                0.58013,                0.75781,                0.69082,                0.75855,                0.58136,                0.73677,                   1.21,                 1.1458,                0.96605,               0.008911,               0.008911,               0.008911
                     14,                0.81648,                 1.2512,                 1.2204,                 1.0145,                0.71441,                0.75758,                0.76722,                0.59981,                0.76519,                0.70013,                0.76678,                 0.5786,                0.73633,                 1.1708,                 1.1812,                0.98017,               0.008812,               0.008812,               0.008812
                     15,                0.80993,                 1.2162,                 1.1892,                  1.009,                0.77708,                0.70944,                0.77587,                0.60966,                0.77708,                0.70944,                0.77534,                0.59356,                0.69096,                  1.155,                   1.11,                0.95676,               0.008713,               0.008713,               0.008713
                     16,                0.78666,                 1.1893,                 1.1507,                0.99842,                0.70994,                0.76395,                0.77972,                0.60118,                0.70994,                0.76395,                0.77953,                0.58524,                0.73753,                 1.2223,                 1.1698,                0.99197,               0.008614,               0.008614,               0.008614
                     17,                0.78902,                 1.2165,                 1.1495,                 1.0004,                0.78209,                0.76122,                0.80424,                0.63454,                0.77781,                0.75683,                0.79627,                0.62491,                0.69233,                 1.1399,                 1.0643,                0.96195,               0.008515,               0.008515,               0.008515
                     18,                0.78059,                 1.1917,                 1.1302,                0.99946,                 0.7198,                0.76879,                0.77542,                0.61543,                0.71585,                 0.7644,                0.77209,                0.59874,                0.69334,                 1.1933,                 1.0912,                0.96124,               0.008416,               0.008416,               0.008416
                     19,                0.76829,                 1.1678,                 1.0826,                0.99337,                0.76728,                0.76526,                0.80134,                0.63685,                0.76728,                0.76526,                0.80131,                0.61154,                 0.6791,                 1.1539,                 1.0322,                0.95702,               0.008317,               0.008317,               0.008317
                     20,                0.74736,                 1.1476,                 1.0689,                0.98297,                0.77525,                 0.7556,                0.79099,                0.63458,                0.77525,                 0.7556,                0.79093,                0.62169,                0.68124,                 1.1161,                 1.0354,                0.96567,               0.008218,               0.008218,               0.008218
                     21,                0.74555,                 1.1459,                 1.0781,                0.98833,                0.76056,                 0.7896,                0.81882,                0.65498,                0.76322,                0.79231,                0.81884,                 0.6349,                 0.6707,                 1.1388,                0.98769,                0.95901,               0.008119,               0.008119,               0.008119
                     22,                0.73606,                 1.1473,                 1.0584,                0.98185,                0.80983,                0.73943,                0.81788,                0.65778,                0.80983,                0.73943,                 0.8194,                0.63851,                0.66577,                 1.1172,                0.98405,                 0.9586,                0.00802,                0.00802,                0.00802
                     23,                0.73469,                 1.1515,                   1.06,                0.98681,                0.78014,                0.77966,                0.81681,                0.64782,                0.78053,                0.77939,                0.81186,                0.63201,                0.66294,                  1.151,                 1.0271,                0.94746,               0.007921,               0.007921,               0.007921
                     24,                0.74424,                 1.1395,                 1.0253,                0.97766,                0.76113,                0.79719,                0.81888,                0.66762,                0.77148,                0.79577,                 0.8122,                0.64251,                0.64988,                 1.0983,                0.96681,                0.93992,               0.007822,               0.007822,               0.007822
                     25,                0.71684,                  1.124,                 1.0317,                0.97327,                0.79276,                0.78576,                0.81589,                0.65385,                0.79785,                0.78989,                0.82211,                0.63556,                0.66079,                 1.0864,                0.94291,                0.94637,               0.007723,               0.007723,               0.007723
                     26,                0.72118,                 1.1207,                 1.0334,                0.97691,                 0.7996,                0.77906,                 0.8259,                 0.6701,                0.79464,                0.77499,                0.82027,                0.65135,                0.65953,                 1.0796,                0.95323,                0.95367,               0.007624,               0.007624,               0.007624
                     27,                 0.7239,                 1.1265,                 1.0075,                0.96876,                0.78357,                0.77815,                0.81984,                0.66376,                0.78357,                0.77815,                0.81633,                  0.643,                 0.6468,                 1.1029,                0.95804,                0.94116,               0.007525,               0.007525,               0.007525
                     28,                0.69442,                 1.0892,                0.96644,                0.96382,                0.77461,                0.77596,                0.81652,                0.66154,                0.76511,                0.78312,                0.81366,                0.63602,                0.65869,                 1.0908,                0.96671,                0.95061,               0.007426,               0.007426,               0.007426
                     29,                 0.6971,                 1.1068,                0.96943,                0.96952,                0.80497,                0.81086,                0.83202,                0.68077,                0.81142,                0.80701,                 0.8302,                0.65565,                0.64065,                 1.0828,                0.93985,                0.94688,               0.007327,               0.007327,               0.007327
                     30,                0.69619,                 1.0878,                0.94969,                0.96126,                0.78912,                0.80524,                0.82999,                  0.672,                 0.7938,                0.80962,                0.83445,                0.64572,                0.62989,                 1.0551,                0.91811,                0.93564,               0.007228,               0.007228,               0.007228
                     31,                0.71326,                 1.0954,                 0.9699,                 0.9696,                0.80398,                0.80891,                0.82729,                 0.6782,                0.79803,                0.80547,                0.81999,                0.65743,                0.62455,                 1.0625,                0.94686,                 0.9267,               0.007129,               0.007129,               0.007129
                     32,                0.70477,                 1.1001,                 0.9521,                0.96586,                0.81649,                0.81073,                0.84602,                0.70005,                0.80178,                0.81338,                0.84081,                0.67555,                0.61965,                 1.0435,                  0.908,                0.93202,                0.00703,                0.00703,                0.00703
                     33,                0.67761,                 1.0805,                0.92417,                0.95666,                0.77854,                0.82227,                0.84321,                0.68405,                  0.783,                0.82584,                0.84517,                0.66996,                0.61164,                 1.0676,                0.89096,                0.92446,               0.006931,               0.006931,               0.006931
                     34,                 0.6804,                 1.0719,                0.93555,                0.95453,                0.81355,                0.82328,                0.85161,                0.68742,                0.80885,                0.81911,                0.84152,                0.65803,                0.62602,                 1.0452,                0.88619,                0.93449,               0.006832,               0.006832,               0.006832
                     35,                0.66926,                 1.0521,                0.89959,                0.94911,                0.80319,                0.80367,                 0.8406,                0.69166,                0.79815,                0.79929,                0.83608,                 0.6725,                0.61827,                 1.0563,                0.87575,                0.93223,               0.006733,               0.006733,               0.006733
                     36,                0.66572,                 1.0608,                0.90152,                0.95434,                0.83803,                 0.7798,                0.83538,                0.69208,                0.83354,                0.77542,                0.83064,                0.66587,                0.61527,                 1.0494,                 0.8993,                0.91864,               0.006634,               0.006634,               0.006634
                     37,                0.67537,                 1.0712,                 0.9151,                0.95316,                0.82953,                0.80766,                0.83617,                0.69621,                0.82953,                0.80766,                0.83594,                0.67145,                0.60349,                 1.0135,                0.87783,                0.91813,               0.006535,               0.006535,               0.006535
                     38,                0.65979,                 1.0427,                0.88763,                0.95149,                0.83754,                0.81393,                0.85987,                0.70195,                0.83297,                0.80955,                0.85304,                0.67734,                0.60466,                 1.0525,                0.86579,                0.91841,               0.006436,               0.006436,               0.006436
                     39,                0.65298,                 1.0376,                 0.8719,                0.94406,                0.76201,                0.82499,                 0.8247,                0.68651,                0.76201,                0.82499,                0.82489,                0.66699,                0.59257,                 1.0218,                0.87239,                0.91865,               0.006337,               0.006337,               0.006337
                     40,                0.65003,                 1.0216,                0.85866,                0.94315,                0.82588,                0.81818,                0.84674,                0.71257,                0.82127,                0.81387,                 0.8418,                0.68497,                0.57174,                 1.0269,                0.84601,                0.91033,               0.006238,               0.006238,               0.006238
                     41,                0.66143,                 1.0401,                0.88559,                0.94895,                0.80292,                0.77169,                0.82744,                0.68866,                0.80292,                0.77169,                0.82318,                0.65783,                 0.6041,                 1.0336,                0.92496,                0.91695,               0.006139,               0.006139,               0.006139
                     42,                0.64289,                 1.0213,                 0.8564,                0.93186,                0.79653,                 0.7862,                0.83308,                 0.6901,                0.79138,                0.78182,                0.82719,                 0.6629,                0.60458,                 1.0295,                0.88662,                0.92862,                0.00604,                0.00604,                0.00604
                     43,                0.64815,                  1.031,                0.86352,                0.94399,                0.81114,                0.79913,                0.84631,                0.71062,                0.80658,                0.79517,                0.84227,                0.67831,                0.56626,                 1.0054,                0.85623,                0.91049,               0.005941,               0.005941,               0.005941
                     44,                0.64341,                 1.0087,                0.85501,                0.93836,                0.82835,                0.80915,                0.85074,                0.70618,                0.82343,                0.80476,                0.84454,                 0.6754,                0.59249,                 1.0027,                0.85398,                 0.9181,               0.005842,               0.005842,               0.005842
                     45,                0.62249,                0.98809,                0.82659,                0.93668,                0.80845,                0.77529,                0.83027,                0.69115,                0.80845,                0.77529,                0.82695,                0.66766,                0.58951,                 1.0105,                0.87218,                0.91407,               0.005743,               0.005743,               0.005743
                     46,                 0.6361,                 1.0237,                0.83566,                 0.9405,                0.79473,                0.79789,                0.84012,                0.70751,                0.79001,                 0.7935,                0.83531,                0.67592,                0.57638,                0.98946,                0.87373,                0.90572,               0.005644,               0.005644,               0.005644
                     47,                0.63379,                0.98807,                0.81875,                0.93521,                0.83536,                 0.7882,                0.85921,                0.72277,                0.83536,                 0.7882,                0.85865,                0.69086,                0.58211,                0.98878,                0.83022,                0.91512,               0.005545,               0.005545,               0.005545
                     48,                0.62772,                0.99109,                 0.8138,                0.93257,                0.80293,                0.83546,                0.85263,                0.71201,                0.82219,                0.81758,                  0.848,                0.68345,                0.58536,                 1.0012,                0.84571,                0.91247,               0.005446,               0.005446,               0.005446
